Link,Bookshelf,Type_Bookshelf,Category,Sub_Category,Book_name,Quantity_Sold,Undiscounted_price,Discounted_price,Percent_discount,Time_Delivery,Shipping_fee,Bookstore
GIAO SIÊU TỐC 2HThịnh Vượng Tài Chính Tuổi 30 - Tập 1 (Tái Bản 2019)Đã bán 1000+62.300 ₫-30%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Thịnh Vượng Tài Chính Tuổi 30 - Tập 1 (Tái Bản 2019),Đã bán 1000+,89.000 ₫,62.300 ₫,-30%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
GIAO SIÊU TỐC 2HNghệ Thuật Đặt Câu Hỏi Trong Kinh DoanhĐã bán 68862.550 ₫-55%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Nghệ Thuật Đặt Câu Hỏi Trong Kinh Doanh,Đã bán 688,139.000 ₫,62.550 ₫,-55%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
GIAO SIÊU TỐC 2HLột xác để trở thành nhà đầu tư giá trị - The education of a value investorĐã bán 1000+268.000 ₫,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,"Sách tài chính, tiền tệ",Lột xác để trở thành nhà đầu tư giá trị - The education of a value investor,Đã bán 1000+,0,268.000 ₫,0,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,HappyLive
GIAO SIÊU TỐC 2HNghệ Thuật Bán Hàng Của Người Hướng NộiĐã bán 1000+77.350 ₫-35%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Nghệ Thuật Bán Hàng Của Người Hướng Nội,Đã bán 1000+,119.000 ₫,77.350 ₫,-35%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
GIAO SIÊU TỐC 2HMBA Căn BảnĐã bán 1000+96.850 ₫-35%Quà tặng kèm,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,MBA Căn Bản,Đã bán 1000+,0,0,0,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
GIAO SÁNG MAINgười Bán Hàng Vĩ Đại Nhất Thế Giới (Tái Bản 2020)Đã bán 1000+108.000 ₫-27%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Bài học kinh doanh,Người Bán Hàng Vĩ Đại Nhất Thế Giới (Tái Bản 2020),Đã bán 1000+,148.000 ₫,108.000 ₫,-27%,Trước 11:59 ngày mai14.000đ (Freeship 30K đh 149K)Freeship 100% chỉ với 23 ASA,14.000đ (Freeship 30K đh 149K),Tiki Trading
GIAO SIÊU TỐC 2HBộ sách Làm Giàu Từ Chứng Khoán (How To Make Money In Stock) phiên bản mới + Hướng Dẫn Thực Hành CANSLIM Cho Người Mới Bắt ĐầuĐã bán 1000+700.000 ₫,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,"Sách tài chính, tiền tệ",Bộ sách Làm Giàu Từ Chứng Khoán (How To Make Money In Stock) phiên bản mới + Hướng Dẫn Thực Hành CANSLIM Cho Người Mới Bắt Đầu,Đã bán 1000+,0,700.000 ₫,0,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,HappyLive
GIAO SIÊU TỐC 2HCẩm Nang Tư Duy Phản BiệnĐã bán 1000+13.800 ₫-31%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Cẩm Nang Tư Duy Phản Biện,Đã bán 1000+,20.000 ₫,13.800 ₫,-31%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
Từ Zero Đến ZaraĐã bán 1000+66.500 ₫-30%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Từ Zero Đến Zara,Đã bán 1000+,95.000 ₫,66.500 ₫,-30%,"Thứ 3, ngày 24/0523.000đ (Freeship 30K đh 149K)Freeship 100% chỉ với 38 ASA",23.000đ (Freeship 30K đh 149K),Tiki Trading
Cảng Biển Và Logistics - Nhìn Lại Một Hành Trình Phát TriểnĐã bán 67130.000 ₫-35%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kinh tế học,Cảng Biển Và Logistics - Nhìn Lại Một Hành Trình Phát Triển,Đã bán 67,200.000 ₫,130.000 ₫,-35%,"Thứ 7, ngày 28/0518.000đFreeship 100% chỉ với 30 ASA",18.000đ,ETS Books
Combo 2 cuốn sách hay về kinh tế :  Inbound PR - Dịch Chuyển Hoạt Động Theo Mô Hình Inbound + Tăng Trưởng Thần TốcĐã bán 3231.500 ₫,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Combo 2 cuốn sách hay về kinh tế :  Inbound PR - Dịch Chuyển Hoạt Động Theo Mô Hình Inbound + Tăng Trưởng Thần Tốc,Đã bán 3,0,231.500 ₫,0,"Thứ 7, ngày 28/050đ (đã trừ 18K Freeship)",0đ (đã trừ 18K Freeship),Phương Đông Books
Sách - Tư Duy Nhanh Và Chậm (Tái Bản 2021)Đã bán 6168.000 ₫,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Sách - Tư Duy Nhanh Và Chậm (Tái Bản 2021),Đã bán 6,0,168.000 ₫,0,"Thứ 7, ngày 28/0518.000đFreeship 100% chỉ với 30 ASA",18.000đ,Trạm đọc
GIAO SIÊU TỐC 2H2030: Những Xu Hướng Lớn Sẽ Định Hình Thế Giới Tương Lai (Tái Bản Lần 1)Đã bán 101162.000 ₫-22%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kinh tế học,2030: Những Xu Hướng Lớn Sẽ Định Hình Thế Giới Tương Lai (Tái Bản Lần 1),Đã bán 101,209.000 ₫,162.000 ₫,-22%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
GIAO SÁNG MAIDoanh Nghiệp 4.0Đã bán 13371.550 ₫-55%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kinh tế học,Doanh Nghiệp 4.0,Đã bán 133,159.000 ₫,71.550 ₫,-55%,Trước 11:59 ngày mai14.000đ (Freeship 30K đh 149K)Freeship 100% chỉ với 23 ASA,14.000đ (Freeship 30K đh 149K),Tiki Trading
GIAO SIÊU TỐC 2HĐừng Bao Giờ Đi Ăn Một Mình (Tái Bản)Đã bán 1000+63.800 ₫-43%,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Bài học kinh doanh,Đừng Bao Giờ Đi Ăn Một Mình (Tái Bản),Đã bán 1000+,112.000 ₫,63.800 ₫,-43%,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,Tiki Trading
GIAO SIÊU TỐC 2HĐiều Quan Trọng Nhất – The Most Important ThingĐã bán 1000+299.000 ₫,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,"Sách tài chính, tiền tệ",Điều Quan Trọng Nhất – The Most Important Thing,Đã bán 1000+,0,299.000 ₫,0,Trước 10:00 ngày mai19.000đFreeship 100% chỉ với 31 ASA,19.000đ,HappyLive
Tinh Hoa Kinh Tế Học (Essentials Of Economics)Đã bán 15469.000 ₫,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kinh tế học,Tinh Hoa Kinh Tế Học (Essentials Of Economics),Đã bán 15,0,469.000 ₫,0,"Thứ 4, ngày 25/0510.000đFreeship 100% chỉ với 16 ASA",10.000đ,Nhà sách NetaBooks
Combo 2 cuốn sách kinh tế tâm đắc nhất: Tôi Đã Kiếm Được 2.000.000 Đô-La Từ Thị Trường Chứng Khoán Như Thế Nào?  + Phương Pháp Đầu Tư Warren Buffett Phương Pháp Đầu Tư Warren Buffett ( tặng kèm bookmark)Đã bán 13154.700 ₫,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,Sách kỹ năng làm việc,Combo 2 cuốn sách kinh tế tâm đắc nhất: Tôi Đã Kiếm Được 2.000.000 Đô-La Từ Thị Trường Chứng Khoán Như Thế Nào?  + Phương Pháp Đầu Tư Warren Buffett Phương Pháp Đầu Tư Warren Buffett ( tặng kèm bookmark),Đã bán 13,0,154.700 ₫,0,"Thứ 7, ngày 28/0518.000đ (Freeship 1K đh 249K)Freeship 100% chỉ với 30 ASA",18.000đ (Freeship 1K đh 249K),Times Books
GIAO SÁNG MAITâm lý thị trường chứng khoán - Hành vi đám đông và sự thật đằng sau những con sóngĐã bán 34950.000 ₫,Nhà Sách Tiki,Sách tiếng Việt,Sách kinh tế,"Sách tài chính, tiền tệ",Tâm lý thị trường chứng khoán - Hành vi đám đông và sự thật đằng sau những con sóng,Đã bán 349,0,50.000 ₫,0,Trước 11:59 ngày mai14.000đ (Freeship 30K đh 149K)Freeship 100% chỉ với 23 ASA,14.000đ (Freeship 30K đh 149K),Eco Trading
